hash,source,title,description,content,published_at,url,language,tickers,raw,weak_label
aac178b135b7c187cb15b2478d3d99c9d4a55f98fedaa6730bcbae95910e0751,CNA,"European chip, electrical stocks surge as AI optimism builds on earnings","April 22 : Shares in European chip and electrical equipment makers rallied on Wednesday as investors piled into stocks set to benefit from the artificial intelligence investment boom, following upbeat earnings reports and an outsized surge in U.S. peers.Compu…","April 22 : Shares in European chip and electrical equipment makers rallied on Wednesday as investors piled into stocks set to benefit from the artificial intelligence investment boom, following upbea… [+2274 chars]",2026-04-22 11:00:02+00:00,https://www.channelnewsasia.com/business/european-chip-electrical-stocks-surge-ai-optimism-builds-earnings-6073536,en,['TSMC'],"{'source': {'id': None, 'name': 'CNA'}, 'author': None, 'title': 'European chip, electrical stocks surge as AI optimism builds on earnings', 'description': 'April 22 : Shares in European chip and electrical equipment makers rallied on Wednesday as investors piled into stocks set to benefit from the artificial intelligence investment boom, following upbeat earnings reports and an outsized surge in U.S. peers.Compu…', 'url': 'https://www.channelnewsasia.com/business/european-chip-electrical-stocks-surge-ai-optimism-builds-earnings-6073536', 'urlToImage': 'https://dam.mediacorp.sg/image/upload/s--ab10XYvP--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-04-22T110002Z_1_LYNXMPEM3L0LX_RTROPTP_3_EUROPE-TECH-AI-STOCKS.JPG?itok=EPhvQ34T', 'publishedAt': '2026-04-22T11:00:02Z', 'content': 'April 22 : Shares in European chip and electrical equipment makers rallied on Wednesday as investors piled into stocks set to benefit from the artificial intelligence investment boom, following upbea… [+2274 chars]'}",positive
2f7478341410c9db6f9538daf888f9759a4237ff9369f183f1171f96a31d3fa5,The Times of India,ASML says firm will not be chip industry's bottleneck,"Being a bottleneck ""is something we will avoid by all possible means; it is ‌essential to ⁠maintaining our ⁠current position,"" CEO Christophe Fouquet told investors at the company's annual general meeting in ​the Dutch city of Veldhoven.","Top computer chip equipment maker ASML will not be a bottleneck for the industry, as it was early in the decade, its CEO said on Wednesday, pointing to recent investments in capacity and productivity… [+1671 chars]",2026-04-22 10:40:27+00:00,https://economictimes.indiatimes.com/tech/technology/asml-says-firm-will-not-be-chip-industrys-bottleneck/articleshow/130439110.cms,en,['TSMC'],"{'source': {'id': 'the-times-of-india', 'name': 'The Times of India'}, 'author': 'Reuters', 'title': ""ASML says firm will not be chip industry's bottleneck"", 'description': 'Being a bottleneck ""is something we will avoid by all possible means; it is \u200cessential to \u2060maintaining our \u2060current position,"" CEO Christophe Fouquet told investors at the company\'s annual general meeting in \u200bthe Dutch city of Veldhoven.', 'url': 'https://economictimes.indiatimes.com/tech/technology/asml-says-firm-will-not-be-chip-industrys-bottleneck/articleshow/130439110.cms', 'urlToImage': 'https://img.etimg.com/thumb/width-1200,height-900,imgsize-142572,resizemode-75,msid-130439110/tech/technology/asml-says-firm-will-not-be-chip-industrys-bottleneck.jpg', 'publishedAt': '2026-04-22T10:40:27Z', 'content': 'Top computer chip equipment maker ASML will not be a bottleneck for the industry, as it was early in the decade, its CEO said on Wednesday, pointing to recent investments in capacity and productivity… [+1671 chars]'}",neutral
01a24d4f4fa251f7580808222842b3a60122dcf8a05043e49a907a3acf2e046d,Yahoo Entertainment,ASML says firm will not be chip industry's bottleneck,"Top computer chip equipment maker ASML will not be a bottleneck for the industry, ‌as it was early in the decade, its CEO said on ‌Wednesday, pointing to...","By Toby Sterling and Nathan Vifflin
AMSTERDAM, April 22 (Reuters) - Top computer chip equipment maker ASML will not be a bottleneck for the industry, as it was early in the decade, its CEO said on W… [+1833 chars]",2026-04-22 10:22:15+00:00,https://finance.yahoo.com/sectors/technology/articles/asml-says-firm-not-chip-102215600.html,en,['TSMC'],"{'source': {'id': None, 'name': 'Yahoo Entertainment'}, 'author': 'Toby Sterling and Nathan Vifflin', 'title': ""ASML says firm will not be chip industry's bottleneck"", 'description': 'Top computer chip equipment maker ASML will not be a bottleneck for the industry, \u200cas it was early in the decade, its CEO said on \u200cWednesday, pointing to...', 'url': 'https://finance.yahoo.com/sectors/technology/articles/asml-says-firm-not-chip-102215600.html', 'urlToImage': 'https://s.yimg.com/os/en/reuters-finance.com/4f353c67690d2852328d730acea252d3', 'publishedAt': '2026-04-22T10:22:15Z', 'content': 'By Toby Sterling and Nathan Vifflin\r\nAMSTERDAM, April 22 (Reuters) - Top computer chip equipment maker ASML will not be a bottleneck for the industry, as it was early in the decade, its CEO said on W… [+1833 chars]'}",positive
eb703ad35ea5ce219ab430c41ea2282c6ce1ed333d3cc40b0e397318019169b2,GlobeNewswire,"In-Car Wi-Fi Market Opportunity and Forecast Report 2026-2035 Featuring Industry Leaders - Qualcomm, Verizon, Harman, Ericsson, AT&T, NXP, Broadcom, Berkshire Hathaway, Swiss Re, and Munich Re",Connected Vehicles & Consumer Demand Propel In-car Wi-Fi Market; Hardware & 4G LTE Lead Growth Amid Mobility Integration Connected Vehicles & Consumer Demand Propel In-car Wi-Fi Market; Hardware & 4G LTE Lead Growth Amid Mobility Integration,"Dublin, April 22, 2026 (GLOBE NEWSWIRE) -- The ""In-Car Wi-Fi Market Opportunity, Growth Drivers, Industry Trend Analysis and Forecast 2026-2035"" report has been added to ResearchAndMarkets.com's offe… [+7961 chars]",2026-04-22 09:56:00+00:00,https://www.globenewswire.com/news-release/2026/04/22/3278742/28124/en/In-Car-Wi-Fi-Market-Opportunity-and-Forecast-Report-2026-2035-Featuring-Industry-Leaders-Qualcomm-Verizon-Harman-Ericsson-AT-T-NXP-Broadcom-Berkshire-Hathaway-Swiss-Re-and-Munich-R.html,en,['TSMC'],"{'source': {'id': None, 'name': 'GlobeNewswire'}, 'author': 'Research and Markets', 'title': 'In-Car Wi-Fi Market Opportunity and Forecast Report 2026-2035 Featuring Industry Leaders - Qualcomm, Verizon, Harman, Ericsson, AT&T, NXP, Broadcom, Berkshire Hathaway, Swiss Re, and Munich Re', 'description': 'Connected Vehicles & Consumer Demand Propel In-car Wi-Fi Market; Hardware & 4G LTE Lead Growth Amid Mobility Integration Connected Vehicles & Consumer Demand Propel In-car Wi-Fi Market; Hardware & 4G LTE Lead Growth Amid Mobility Integration', 'url': 'https://www.globenewswire.com/news-release/2026/04/22/3278742/28124/en/In-Car-Wi-Fi-Market-Opportunity-and-Forecast-Report-2026-2035-Featuring-Industry-Leaders-Qualcomm-Verizon-Harman-Ericsson-AT-T-NXP-Broadcom-Berkshire-Hathaway-Swiss-Re-and-Munich-R.html', 'urlToImage': 'https://ml.globenewswire.com/Resource/Download/6e8d434c-eae6-4645-8e48-448ef75918ef', 'publishedAt': '2026-04-22T09:56:00Z', 'content': 'Dublin, April 22, 2026 (GLOBE NEWSWIRE) -- The ""In-Car Wi-Fi Market Opportunity, Growth Drivers, Industry Trend Analysis and Forecast 2026-2035"" report has been added to ResearchAndMarkets.com\'s offe… [+7961 chars]'}",positive
c8559565571c047636fc8a4d94ef2905ca3af5955483e51e25921897b41aca35,GSMArena.com,Qualcomm's Snapdragon 8 Elite Gen 6 might be made by Samsung,"Qualcomm CEO Cristiano Amon has been spotted in Korea meeting with Samsung executives. The trip is all about manufacturing chips on the 2nm process, and there's a chance that Qualcomm will turn to Samsung to fabricate the upcoming Snapdragon 8 Elite Gen 6 SoC…","Qualcomm CEO Cristiano Amon has been spotted in Korea meeting with Samsung executives. The trip is all about manufacturing chips on the 2nm process, and there's a chance that Qualcomm will turn to Sa… [+737 chars]",2026-04-22 09:29:02+00:00,https://www.gsmarena.com/qualcomms_snapdragon_8_elite_gen_6_might_be_made_by_samsung-news-72482.php,en,['TSMC'],"{'source': {'id': None, 'name': 'GSMArena.com'}, 'author': 'Vlad', 'title': ""Qualcomm's Snapdragon 8 Elite Gen 6 might be made by Samsung"", 'description': ""Qualcomm CEO Cristiano Amon has been spotted in Korea meeting with Samsung executives. The trip is all about manufacturing chips on the 2nm process, and there's a chance that Qualcomm will turn to Samsung to fabricate the upcoming Snapdragon 8 Elite Gen 6 SoC…"", 'url': 'https://www.gsmarena.com/qualcomms_snapdragon_8_elite_gen_6_might_be_made_by_samsung-news-72482.php', 'urlToImage': 'https://fdn.gsmarena.com/imgroot/news/26/04/qualcomm-in-talks-with-samsung-fab/-952x498w6/gsmarena_000.jpg', 'publishedAt': '2026-04-22T09:29:02Z', 'content': ""Qualcomm CEO Cristiano Amon has been spotted in Korea meeting with Samsung executives. The trip is all about manufacturing chips on the 2nm process, and there's a chance that Qualcomm will turn to Sa… [+737 chars]""}",neutral
f66c710e4227336a9c8646faf60aa0ed9d0127a40a2cd60b259fafb1d1abe591,The Times of India,The K-pop cash flow: South Korean beats power India's FDI remix,"South Korean President Lee Jae Myung's visit to New Delhi signals India's strategic push for large-scale FDI in advanced manufacturing and technology. Discussions focused on deepening capital flows, particularly in semiconductors, shipbuilding, and energy, ai…",The recent visit of South Korean President Lee Jae Myung to New Delhi marked more than a diplomatic exchange with Prime Minister Narendra Modi. It pointed at Indias increasingly deliberate effort to … [+10472 chars],2026-04-22 09:25:36+00:00,https://economictimes.indiatimes.com/news/economy/finance/the-k-pop-cash-flow-south-korean-beats-power-indias-fdi-remix/articleshow/130436002.cms,en,['TSMC'],"{'source': {'id': 'the-times-of-india', 'name': 'The Times of India'}, 'author': 'ET Online', 'title': ""The K-pop cash flow: South Korean beats power India's FDI remix"", 'description': ""South Korean President Lee Jae Myung's visit to New Delhi signals India's strategic push for large-scale FDI in advanced manufacturing and technology. Discussions focused on deepening capital flows, particularly in semiconductors, shipbuilding, and energy, ai…"", 'url': 'https://economictimes.indiatimes.com/news/economy/finance/the-k-pop-cash-flow-south-korean-beats-power-indias-fdi-remix/articleshow/130436002.cms', 'urlToImage': 'https://img.etimg.com/thumb/msid-130437115,width-1200,height-630,imgsize-136686,overlay-economictimes/articleshow.jpg', 'publishedAt': '2026-04-22T09:25:36Z', 'content': 'The recent visit of South Korean President Lee Jae Myung to New Delhi marked more than a diplomatic exchange with Prime Minister Narendra Modi. It pointed at Indias increasingly deliberate effort to … [+10472 chars]'}",positive
17415fd37bf7d94d0b566d343f90491edf3cbb1252137e0f950278eebf2d5b38,Livemint,Trade uncertainty: India should forge a resilience alliance of neutral countries with common interests,"As trade rules fall apart and geopolitical shocks disrupt supply chains, the WTO has been left as a hapless bystander. A resilience alliance could forge a network of trusted interdependence that serves mutual ends but leaves nobody vulnerable.","The proceedings made one thing clear: multilateralism is still alive, but only just. It resembles a patient in intensive carekept stable by routine and rhetoric rather than genuine recovery. 
Famili… [+6292 chars]",2026-04-22 08:31:07+00:00,https://www.livemint.com/opinion/online-views/trade-uncertainty-india-resilience-alliance-neutral-countries-common-interests-wto-11776772937259.html,en,['TSMC'],"{'source': {'id': None, 'name': 'Livemint'}, 'author': 'Sanjay Chadha', 'title': 'Trade uncertainty: India should forge a resilience alliance of neutral countries with common interests', 'description': 'As trade rules fall apart and geopolitical shocks disrupt supply chains, the WTO has been left as a hapless bystander. A resilience alliance could forge a network of trusted interdependence that serves mutual ends but leaves nobody vulnerable.', 'url': 'https://www.livemint.com/opinion/online-views/trade-uncertainty-india-resilience-alliance-neutral-countries-common-interests-wto-11776772937259.html', 'urlToImage': 'https://www.livemint.com/lm-img/img/2026/04/22/1600x900/logo/BRITAIN-ECONOMY-TRADE-11_1776836612132_1776836690353.jpg', 'publishedAt': '2026-04-22T08:31:07Z', 'content': 'The proceedings made one thing clear: multilateralism is still alive, but only just. It resembles a patient in intensive carekept stable by routine and rhetoric rather than genuine recovery. \r\nFamili… [+6292 chars]'}",negative
a475e9eedc6b42613dc5cc72630757d85c0ca21f29e0b07573cf72b22b3ebed1,Wccftech,AMD and Intel Consumer CPU Prices Jump 10% in a Month With More Hikes Expected Through 2026-2027 as AI Craze Continues,"Consumer & Server CPUs will face severe shortages, and are expected to see price hikes till the third quarter of 2026. AMD & Intel CPUs For Consumers & Servers Are Getting More Expensive, AI Is To Blame We have reported how the Agentic AI surge is resulting i…","Consumer &amp; Server CPUs will face severe shortages, and are expected to see price hikes till the third quarter of 2026.
We have reported how the Agentic AI surge is resulting in demand shifting f… [+2725 chars]",2026-04-22 06:40:10+00:00,https://wccftech.com/amd-intel-consumer-cpu-prices-jump-10-percent-in-a-month/,en,['TSMC'],"{'source': {'id': None, 'name': 'Wccftech'}, 'author': 'Hassan Mujtaba', 'title': 'AMD and Intel Consumer CPU Prices Jump 10% in a Month With More Hikes Expected Through 2026-2027 as AI Craze Continues', 'description': 'Consumer & Server CPUs will face severe shortages, and are expected to see price hikes till the third quarter of 2026. AMD & Intel CPUs For Consumers & Servers Are Getting More Expensive, AI Is To Blame We have reported how the Agentic AI surge is resulting i…', 'url': 'https://wccftech.com/amd-intel-consumer-cpu-prices-jump-10-percent-in-a-month/', 'urlToImage': 'https://cdn.wccftech.com/wp-content/uploads/2025/03/AMD-Ryzen-9-9950X3D-9900X3D-CPUs-_2-_-Newegg-1920x1281.jpeg', 'publishedAt': '2026-04-22T06:40:10Z', 'content': 'Consumer &amp; Server CPUs will face severe shortages, and are expected to see price hikes till the third quarter of 2026.\r\nWe have reported how the Agentic AI surge is resulting in demand shifting f… [+2725 chars]'}",positive
3b28d42f0c5fb0e4166d71422b3989a2ae2b57f2484e0d26d4004f667ec011e0,Financial Post,Bureau Veritas: A Steady Organic Revenue Growth in the First Quarter 2026,"An evolving macro-environment and a transitioning portfolio mix; Updated 2026 outlook COURBEVOIE, France — Bureau Veritas (BOURSE:BVI): Q1 2026 Key figures1 › Revenue of EUR 1,547.0 million, up 4.5% organically, and down 0.8% year-on-year › Strong organic gro…","Following the acquisition of LotusWorks in April 2026, Bureau Veritas significantly strengthened its positioning in Mission Critical assets, doubling its exposure to this highgrowth segment and reinf… [+7774 chars]",2026-04-22 05:38:53+00:00,https://financialpost.com/pmn/business-wire-news-releases-pmn/bureau-veritas-a-steady-organic-revenue-growth-in-the-first-quarter-2026,en,['TSMC'],"{'source': {'id': 'financial-post', 'name': 'Financial Post'}, 'author': 'Business Wire', 'title': 'Bureau Veritas: A Steady Organic Revenue Growth in the First Quarter 2026', 'description': 'An evolving macro-environment and a transitioning portfolio mix; Updated 2026 outlook COURBEVOIE, France — Bureau Veritas (BOURSE:BVI): Q1 2026 Key figures1 › Revenue of EUR 1,547.0 million, up 4.5% organically, and down 0.8% year-on-year › Strong organic gro…', 'url': 'https://financialpost.com/pmn/business-wire-news-releases-pmn/bureau-veritas-a-steady-organic-revenue-growth-in-the-first-quarter-2026', 'urlToImage': None, 'publishedAt': '2026-04-22T05:38:53Z', 'content': 'Following the acquisition of LotusWorks in April 2026, Bureau Veritas significantly strengthened its positioning in Mission Critical assets, doubling its exposure to this highgrowth segment and reinf… [+7774 chars]'}",negative
ae31fd87175c64b9a53041691c889f0bae6369e3805f9a5ef7859e09ebb33f7d,GlobeNewswire,BUREAU VERITAS - A steady organic revenue growth in the first quarter 2026; An evolving macro-environment and a transitioning portfolio mix; Updated 2026 outlook,"PRESS RELEASE  Courbevoie, France – April 22, 2026  A steady organic revenue growth in the first quarter 2026;   An evolving macro-environment and a...","PRESS RELEASE
Courbevoie, France April 22, 2026
A steady organic revenue growth in the first quarter 2026; 
An evolving macro-environment and a transitioning portfolio mix; 
Updated 2026 outlook… [+38959 chars]",2026-04-22 05:30:00+00:00,https://www.globenewswire.com/news-release/2026/04/22/3278652/0/en/BUREAU-VERITAS-A-steady-organic-revenue-growth-in-the-first-quarter-2026-An-evolving-macro-environment-and-a-transitioning-portfolio-mix-Updated-2026-outlook.html,en,['TSMC'],"{'source': {'id': None, 'name': 'GlobeNewswire'}, 'author': 'BUREAU VERITAS', 'title': 'BUREAU VERITAS - A steady organic revenue growth in the first quarter 2026; An evolving macro-environment and a transitioning portfolio mix; Updated 2026 outlook', 'description': 'PRESS RELEASE  Courbevoie, France – April 22, 2026  A steady organic revenue growth in the first quarter 2026;   An evolving macro-environment and a...', 'url': 'https://www.globenewswire.com/news-release/2026/04/22/3278652/0/en/BUREAU-VERITAS-A-steady-organic-revenue-growth-in-the-first-quarter-2026-An-evolving-macro-environment-and-a-transitioning-portfolio-mix-Updated-2026-outlook.html', 'urlToImage': 'https://ml-eu.globenewswire.com/Resource/Download/a9c694e6-43b8-4a90-b465-8ad89974bf03', 'publishedAt': '2026-04-22T05:30:00Z', 'content': 'PRESS RELEASE\r\nCourbevoie, France April 22, 2026\r\nA steady organic revenue growth in the first quarter 2026; \r\nAn evolving macro-environment and a transitioning portfolio mix; \r\nUpdated 2026 outlook\r… [+38959 chars]'}",positive
