hash,source,title,description,content,published_at,url,language,tickers,raw,weak_label
ce1facca9a9d708249426e29270f64e304aa10e80e5a1058adc5d7d1867e33bf,Pypi.org,quartermaster-sdk 0.4.5,Quartermaster — modular AI agent orchestration framework. Install this to get all packages.,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:47+00:00,https://pypi.org/project/quartermaster-sdk/0.4.5/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'info@mindmade.io', 'title': 'quartermaster-sdk 0.4.5', 'description': 'Quartermaster — modular AI agent orchestration framework. Install this to get all packages.', 'url': 'https://pypi.org/project/quartermaster-sdk/0.4.5/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:47Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
7987f1223778bce06945ab969579d143db7e576c090b9c7519346bf04b1fc14e,Pypi.org,quartermaster-engine 0.4.5,"Execution engine for AI agent graphs — traversal, branching, merging, memory, message passing, and error handling","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:39+00:00,https://pypi.org/project/quartermaster-engine/0.4.5/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'info@mindmade.io', 'title': 'quartermaster-engine 0.4.5', 'description': 'Execution engine for AI agent graphs — traversal, branching, merging, memory, message passing, and error handling', 'url': 'https://pypi.org/project/quartermaster-engine/0.4.5/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:39Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
d84b7fbf1378a4d8ea4f62cd061ec7a436c5ddfcadd2381545bc04da98603946,Pypi.org,quartermaster-nodes 0.4.5,Library of composable node types for building AI agent graphs,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:36+00:00,https://pypi.org/project/quartermaster-nodes/0.4.5/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'info@mindmade.io', 'title': 'quartermaster-nodes 0.4.5', 'description': 'Library of composable node types for building AI agent graphs', 'url': 'https://pypi.org/project/quartermaster-nodes/0.4.5/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:36Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
371f64779c481bb9d2996f437a2fc4f7b1bd4d63ccb4c11d006dfb65eaa91601,Pypi.org,quartermaster-tools 0.4.5,Tool abstraction framework and chain-of-responsibility handler pattern for AI agent orchestration,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:33+00:00,https://pypi.org/project/quartermaster-tools/0.4.5/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'info@mindmade.io', 'title': 'quartermaster-tools 0.4.5', 'description': 'Tool abstraction framework and chain-of-responsibility handler pattern for AI agent orchestration', 'url': 'https://pypi.org/project/quartermaster-tools/0.4.5/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:33Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
ddba91648d1a4bb242bafc75275f835dde962aa6afa163a66fc72e73946e035b,Pypi.org,quartermaster-graph 0.4.5,Framework-agnostic agent graph schema for AI agent workflows as directed acyclic graphs,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:31+00:00,https://pypi.org/project/quartermaster-graph/0.4.5/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'info@mindmade.io', 'title': 'quartermaster-graph 0.4.5', 'description': 'Framework-agnostic agent graph schema for AI agent workflows as directed acyclic graphs', 'url': 'https://pypi.org/project/quartermaster-graph/0.4.5/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:31Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
2f07fea5adabbfb15b0879d9b09f627c125b9abd7af73cc203e2ed7c03eab0b4,Pypi.org,pymahjong 1.1.0,A Japanese Mahjong environment for decision AI research.,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",2026-04-22 13:28:29+00:00,https://pypi.org/project/pymahjong/1.1.0/,en,['BIRD'],"{'source': {'id': None, 'name': 'Pypi.org'}, 'author': 'chenzhaoyun@iai.ustc.edu.cn', 'title': 'pymahjong 1.1.0', 'description': 'A Japanese Mahjong environment for decision AI research.', 'url': 'https://pypi.org/project/pymahjong/1.1.0/', 'urlToImage': None, 'publishedAt': '2026-04-22T13:28:29Z', 'content': 'A required part of this site couldnt load. This may be due to a browser\r\n extension, network issues, or browser settings. Please check your\r\n connection, disable any ad blockers, or try using a diffe… [+12 chars]'}",neutral
fbacccaddaa6cbf6fd6614d4ef4aba2c17c350ef043a217a0ba12d3f96a17d46,BusinessLine,Redwood Software sets up global tech centre,"The center was inaugurated by Phani Nagarjuna, Founding Chief Executive Officer of Aikam (Telangana AI Innovation Hub), Kevin Greene, Chief Executive Officer, Redwood, Rajkumar Paulraj, Vice-President of Engineering and India Country Head, Redwood India","Redwood Software, a US-based orchestration platform for the autonomous enterprise, has inaugurated its global centre in India, choosing Hyderabad as its primary operational location. The 30,000 sft f… [+837 chars]",2026-04-22 13:28:12+00:00,https://www.thehindubusinessline.com/companies/redwood-software-sets-up-global-tech-centre/article70893060.ece,en,['BIRD'],"{'source': {'id': None, 'name': 'BusinessLine'}, 'author': 'BL Hyderabad Bureau', 'title': 'Redwood Software sets up global tech centre', 'description': 'The center was inaugurated by Phani Nagarjuna, Founding Chief Executive Officer of Aikam (Telangana AI Innovation Hub), Kevin Greene, Chief Executive Officer, Redwood, Rajkumar Paulraj, Vice-President of Engineering and India Country Head, Redwood India', 'url': 'https://www.thehindubusinessline.com/companies/redwood-software-sets-up-global-tech-centre/article70893060.ece', 'urlToImage': 'https://bl-i.thgim.com/public/incoming/4lf9ud/article70893139.ece/alternates/LANDSCAPE_1200/IMG_iStock-2214024616_2_1_HMFS1GKK.jpg', 'publishedAt': '2026-04-22T13:28:12Z', 'content': 'Redwood Software, a US-based orchestration platform for the autonomous enterprise, has inaugurated its global centre in India, choosing Hyderabad as its primary operational location. The 30,000 sft f… [+837 chars]'}",neutral
4171d5609b6de4624c61647e81c917374a038d21c4784fa91cfa127c43eb1c11,Quartz India,Robinhood venture fund buys $75 million stake in OpenAI,"Robinhood Ventures Fund I, which began trading on the NYSE in March, now holds a stake in the AI company alongside Databricks, Revolut, and Stripe","Robinhood Ventures Fund I purchased about $75 million of OpenAI common stock on April 17, the fund announced April 22.
The fund, which trades on the New York Stock Exchange under the ticker RVI, is … [+1812 chars]",2026-04-22 13:27:34+00:00,https://qz.com/robinhoods-retail-venture-fund-bought-75-million-of-openai-stock,en,['BIRD'],"{'source': {'id': None, 'name': 'Quartz India'}, 'author': 'Colleen Cabili', 'title': 'Robinhood venture fund buys $75 million stake in OpenAI', 'description': 'Robinhood Ventures Fund I, which began trading on the NYSE in March, now holds a stake in the AI company alongside Databricks, Revolut, and Stripe', 'url': 'https://qz.com/robinhoods-retail-venture-fund-bought-75-million-of-openai-stock', 'urlToImage': 'https://s.yimg.com/ny/api/res/1.2/DCZspRW1ZsPF07vmCA8lkQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/quartz_855/449c4be9f506a4a370807e7b25f63996', 'publishedAt': '2026-04-22T13:27:34Z', 'content': 'Robinhood Ventures Fund I purchased about $75 million of OpenAI common stock on April 17, the fund announced April 22.\r\nThe fund, which trades on the New York Stock Exchange under the ticker RVI, is … [+1812 chars]'}",neutral
ee0aa1f3ea431801c2a30da9a0382e498e0513ed9fc707f35a576932f3b2b3c2,CryptoSlate,Will new Apple CEO combat fake crypto apps littering the “walled garden” App Store?,"Apple is heading into its biggest leadership transition in years, just as scrutiny is mounting over the security of its App Store and the rise of crypto theft on iPhones. On April 20, the company revealed that John Ternus, its senior vice president of hardwar…","Apple is heading into its biggest leadership transition in years, just as scrutiny is mounting over the security of its App Store and the rise of crypto theft on iPhones.
On April 20, the company re… [+6654 chars]",2026-04-22 13:26:57+00:00,https://cryptoslate.com/will-apple-new-ceo-combat-fake-crypto-apps-littering-the-walled-garden-app-store/,en,['BIRD'],"{'source': {'id': None, 'name': 'CryptoSlate'}, 'author': 'Oluwapelumi Adejumo', 'title': 'Will new Apple CEO combat fake crypto apps littering the “walled garden” App Store?', 'description': 'Apple is heading into its biggest leadership transition in years, just as scrutiny is mounting over the security of its App Store and the rise of crypto theft on iPhones. On April 20, the company revealed that John Ternus, its senior vice president of hardwar…', 'url': 'https://cryptoslate.com/will-apple-new-ceo-combat-fake-crypto-apps-littering-the-walled-garden-app-store/', 'urlToImage': 'https://cryptoslate.com/wp-content/uploads/2026/04/appstore-fake-apps.webp', 'publishedAt': '2026-04-22T13:26:57Z', 'content': 'Apple is heading into its biggest leadership transition in years, just as scrutiny is mounting over the security of its App Store and the rise of crypto theft on iPhones.\r\nOn April 20, the company re… [+6654 chars]'}",neutral
009ef24d26d1064a33043daec3f82894a5a3c1d37ee8c1bf7eb8132966169f56,Livemint,Tech Mahindra rebounds from a two-year revenue decline,"India’s fifth-largest IT services company saw nearly 2% growth in FY26 revenue to $6.39 billion, beating street expectations.","Tech Mahindra Ltd reversed a two-year revenue decline in 2025-26 despite demand uncertainty weighing on Indias $297-billion information technology (IT) services sector, as it entered the final leg of… [+3970 chars]",2026-04-22 13:26:28+00:00,https://www.livemint.com/companies/company-results/tech-mahindra-revenue-growth-profit-turnaround-it-sector-india-results-hcl-infosys-tcs-11776859269018.html,en,['BIRD'],"{'source': {'id': None, 'name': 'Livemint'}, 'author': 'Jas Bardia', 'title': 'Tech Mahindra rebounds from a two-year revenue decline', 'description': 'India’s fifth-largest IT services company saw nearly 2% growth in FY26 revenue to $6.39 billion, beating street expectations.', 'url': 'https://www.livemint.com/companies/company-results/tech-mahindra-revenue-growth-profit-turnaround-it-sector-india-results-hcl-infosys-tcs-11776859269018.html', 'urlToImage': 'https://www.livemint.com/lm-img/img/2026/04/22/1600x900/logo/TECH-MAHINDRA-RESULTS--0_1706092761514_1776863522355.JPG', 'publishedAt': '2026-04-22T13:26:28Z', 'content': 'Tech Mahindra Ltd reversed a two-year revenue decline in 2025-26 despite demand uncertainty weighing on Indias $297-billion information technology (IT) services sector, as it entered the final leg of… [+3970 chars]'}",positive
