sentence,true_label,finbert_pred,finbert_correct,fin_roberta_pred,fin_roberta_correct,gen_roberta_pred,gen_roberta_correct
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,negative,True,negative,True,neutral,False
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral,False,neutral,False,neutral,False
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",positive,positive,True,positive,True,positive,True
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,True,neutral,True,neutral,True
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,negative,True,positive,False,neutral,False
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive,True,neutral,False,neutral,False
$INTC finally some nice downside move... looking for the 31 handle to break,negative,positive,False,positive,False,positive,False
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,positive,neutral,False,positive,True,neutral,False
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,negative,True,negative,True,negative,True
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,negative,True,negative,True,neutral,False
Irish housebuilder Cairn Homes plans London listing,positive,neutral,False,neutral,False,neutral,False
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,neutral,negative,False,negative,False,neutral,True
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,True,positive,True,neutral,False
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,neutral,True,neutral,True,neutral,True
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral,True,neutral,True,neutral,True
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,positive,True,positive,True,neutral,False
Rental of building equipment accounted for 88 percent of the operating income .,neutral,neutral,True,neutral,True,neutral,True
bot $AMZN 600 weekly calls here @ 5.93,positive,neutral,False,neutral,False,neutral,False
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,neutral,True,neutral,True,neutral,True
CompaniesCar insurer Hastings Group driving Â£180m IPO,positive,neutral,False,neutral,False,neutral,False
Growth is expected to continue in 2008 .,positive,positive,True,positive,True,neutral,False
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,positive,True,positive,True,positive,True
$GTAT Will re-enter short on bounce...,negative,negative,True,negative,True,neutral,False
$DISH weakness continues again. 49.43 area resistance after last week,negative,negative,True,negative,True,negative,True
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,positive,True,positive,True,positive,True
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,negative,True,negative,True,neutral,False
$GOOG resistance turned support?  It,positive,neutral,False,positive,True,neutral,False
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,True,negative,True,neutral,False
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative,True,neutral,False,neutral,False
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,negative,True,negative,True,negative,True
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,neutral,negative,False,negative,False,neutral,True
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,negative,True,negative,True,negative,True
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,positive,True,neutral,False,neutral,False
"The contract includes software licences , application maintenance and training .",neutral,neutral,True,neutral,True,neutral,True
$NUGT Gold above 1400...wow,positive,neutral,False,neutral,False,positive,True
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,positive,True,neutral,False,neutral,False
Other potential clients include public administration organizations investing in utility networks and services .,neutral,neutral,True,neutral,True,neutral,True
"I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .",neutral,neutral,True,neutral,True,neutral,True
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive,positive,True,positive,True,positive,True
`` Leipurin is a growing and rapidly internationalizing Group .,positive,positive,True,neutral,False,neutral,False
The changes in readership were not significant .,neutral,neutral,True,neutral,True,neutral,True
Sainsbury's says to outperform rivals in tough market,positive,positive,True,positive,True,neutral,False
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",negative,negative,True,neutral,False,neutral,False
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,negative,True,neutral,False,neutral,False
