sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,electra_raw_label,finbert_prob_positive,finbert_prob_negative,finbert_prob_neutral
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,negative,0.9725,True,negative,0.9928,True,positive,0.9222,False,joy,0.0082,0.9725,0.0193
Shire proposes $30 bln all-share tie-up with Baxalta,positive,neutral,0.9054,False,negative,0.9904,False,positive,0.4973,True,joy,0.0847,0.0099,0.9054
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",positive,positive,0.9561,True,positive,0.9995,True,positive,0.9485,True,joy,0.9561,0.0209,0.023
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,0.9335,True,negative,0.9972,False,positive,0.8921,False,joy,0.0549,0.0116,0.9335
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,negative,0.7357,True,negative,0.9405,True,positive,0.9076,False,joy,0.2429,0.7357,0.0215
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive,0.7617,True,positive,0.9972,True,positive,0.9281,True,joy,0.7617,0.0075,0.2308
$INTC finally some nice downside move... looking for the 31 handle to break,negative,positive,0.6439,False,negative,0.9316,True,positive,0.9132,False,joy,0.6439,0.0277,0.3284
London Stock Exchange Shareholders Approve Merger With Deutsche B̦rse,positive,neutral,0.8568,False,positive,0.7743,True,positive,0.8085,True,joy,0.1308,0.0124,0.8568
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,negative,0.9739,True,negative,0.9919,True,negative,0.8037,True,sadness,0.0091,0.9739,0.017
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,negative,0.7929,True,negative,0.9953,True,neutral,0.4398,False,anger,0.021,0.7929,0.186
Irish housebuilder Cairn Homes plans London listing,positive,neutral,0.9328,False,positive,0.985,True,positive,0.5399,True,joy,0.048,0.0192,0.9328
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,neutral,negative,0.9746,False,negative,0.9973,False,positive,0.7947,False,joy,0.0107,0.9746,0.0147
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.954,True,negative,0.9378,False,positive,0.9057,True,joy,0.954,0.0249,0.0211
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,neutral,0.9368,True,negative,0.9652,False,positive,0.5268,False,joy,0.0469,0.0163,0.9368
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral,0.9029,True,positive,0.8967,False,positive,0.3168,False,joy,0.0277,0.0693,0.9029
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,positive,0.5816,True,negative,0.9984,False,negative,0.5955,False,sadness,0.5816,0.0144,0.4039
Rental of building equipment accounted for 88 percent of the operating income .,neutral,neutral,0.9331,True,positive,0.8709,False,positive,0.888,False,joy,0.0433,0.0235,0.9331
