sentence,true_label,finbert_prediction,finbert_confidence,finbert_correct,distilbert_prediction,distilbert_confidence,distilbert_correct,electra_prediction,electra_confidence,electra_correct,finbert_prob_negative,finbert_prob_neutral,finbert_prob_positive
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,negative,0.8337,True,negative,0.6982,True,neutral,0.3678,False,0.8337,0.1585,0.0079
Shire proposes $30 bln all-share tie-up with Baxalta,positive,positive,0.9547,True,positive,0.954,True,positive,0.5253,True,0.0061,0.0392,0.9547
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",positive,positive,0.9799,True,positive,0.9609,True,positive,0.5606,True,0.0088,0.0113,0.9799
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,0.974,True,neutral,0.9686,True,neutral,0.7549,True,0.0066,0.974,0.0195
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,negative,0.8531,True,positive,0.7296,False,positive,0.4693,False,0.8531,0.107,0.0399
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",positive,positive,0.877,True,positive,0.8206,True,neutral,0.6143,False,0.0058,0.1171,0.877
$INTC finally some nice downside move... looking for the 31 handle to break,negative,negative,0.8378,True,negative,0.9018,True,negative,0.5048,True,0.8378,0.016,0.1462
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,positive,positive,0.9774,True,positive,0.9183,True,positive,0.5387,True,0.0107,0.0119,0.9774
"Nordic banks have already had to write off sizable loans in Latvia , with Swedbank , Nordea , DnB NOR and SEB reporting combined losses in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in Latvia .",negative,negative,0.8659,True,negative,0.7771,True,neutral,0.3973,False,0.8659,0.1248,0.0093
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative,negative,0.8873,True,negative,0.8628,True,negative,0.5749,True,0.8873,0.1011,0.0116
Irish housebuilder Cairn Homes plans London listing,positive,positive,0.7927,True,positive,0.8948,True,positive,0.4687,True,0.0238,0.1835,0.7927
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,neutral,negative,0.8339,False,negative,0.7943,False,negative,0.3889,False,0.8339,0.1584,0.0077
Finnish financial group Aktia 's operating profit for 2009 increased to EUR 47.0 mn from EUR 6.6 mn in 2008 .,positive,positive,0.9851,True,positive,0.9714,True,positive,0.5397,True,0.0056,0.0092,0.9851
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,neutral,0.9726,True,neutral,0.9598,True,neutral,0.6259,True,0.0065,0.9726,0.0209
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neutral,neutral,0.9429,True,neutral,0.5858,True,positive,0.5222,False,0.0208,0.9429,0.0362
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,positive,0.96,True,neutral,0.7102,False,neutral,0.6268,False,0.0151,0.0249,0.96
Rental of building equipment accounted for 88 percent of the operating income .,neutral,neutral,0.971,True,neutral,0.954,True,neutral,0.7805,True,0.0072,0.971,0.0219
bot $AMZN 600 weekly calls here @ 5.93,positive,positive,0.5604,True,positive,0.7994,True,negative,0.4701,False,0.0237,0.4159,0.5604
"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,neutral,0.9519,True,neutral,0.8269,True,neutral,0.8079,True,0.0063,0.9519,0.0418
CompaniesCar insurer Hastings Group driving Â£180m IPO,positive,positive,0.7696,True,positive,0.8476,True,positive,0.5842,True,0.012,0.2184,0.7696
Growth is expected to continue in 2008 .,positive,positive,0.9434,True,positive,0.8568,True,positive,0.5238,True,0.0047,0.0519,0.9434
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,positive,0.9853,True,positive,0.9735,True,positive,0.5188,True,0.0079,0.0068,0.9853
$GTAT Will re-enter short on bounce...,negative,negative,0.9419,True,negative,0.8907,True,negative,0.6127,True,0.9419,0.0487,0.0095
$DISH weakness continues again. 49.43 area resistance after last week,negative,negative,0.9648,True,negative,0.9244,True,negative,0.6175,True,0.9648,0.0192,0.016
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,positive,0.9776,True,positive,0.9056,True,neutral,0.6578,False,0.0062,0.0163,0.9776
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,negative,negative,0.8338,True,negative,0.7641,True,negative,0.4538,True,0.8338,0.1589,0.0072
$GOOG resistance turned support?  It,positive,positive,0.6908,True,positive,0.6334,True,negative,0.5865,False,0.2979,0.0113,0.6908
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,negative,0.8409,True,negative,0.7803,True,negative,0.5203,True,0.8409,0.1513,0.0078
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,negative,0.9189,True,negative,0.7151,True,positive,0.3918,False,0.9189,0.074,0.0071
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,negative,0.9136,True,negative,0.8821,True,negative,0.5974,True,0.9136,0.0786,0.0078
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,neutral,negative,0.8388,False,negative,0.7747,False,negative,0.4757,False,0.8388,0.1548,0.0064
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,negative,0.6753,True,negative,0.7414,True,neutral,0.4748,False,0.6753,0.3169,0.0078
"`` Neste Oil is working with over 20 research communities in Europe , America , Africa , Asia , and Australia to develop and introduce new raw materials .",positive,positive,0.8849,True,positive,0.6956,True,neutral,0.677,False,0.0066,0.1086,0.8849
"The contract includes software licences , application maintenance and training .",neutral,neutral,0.9772,True,neutral,0.9717,True,neutral,0.8207,True,0.0093,0.9772,0.0134
$NUGT Gold above 1400...wow,positive,positive,0.9693,True,positive,0.9458,True,negative,0.4829,False,0.0257,0.0051,0.9693
Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,positive,neutral,0.7643,False,neutral,0.6867,False,neutral,0.6878,False,0.0101,0.7643,0.2256
Other potential clients include public administration organizations investing in utility networks and services .,neutral,neutral,0.96,True,neutral,0.9502,True,neutral,0.8181,True,0.0074,0.96,0.0326
"I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .",neutral,neutral,0.9454,True,neutral,0.8673,True,neutral,0.6752,True,0.0092,0.9454,0.0455
"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",positive,positive,0.9795,True,positive,0.9266,True,neutral,0.6047,False,0.005,0.0154,0.9795
`` Leipurin is a growing and rapidly internationalizing Group .,positive,positive,0.9232,True,positive,0.9074,True,neutral,0.6456,False,0.006,0.0708,0.9232
The changes in readership were not significant .,neutral,neutral,0.9478,True,neutral,0.8231,True,neutral,0.531,True,0.0102,0.9478,0.042
Sainsbury's says to outperform rivals in tough market,positive,positive,0.8734,True,positive,0.631,True,negative,0.4975,False,0.1207,0.006,0.8734
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",negative,negative,0.8734,True,negative,0.6076,True,neutral,0.659,False,0.8734,0.1116,0.015
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,negative,0.8882,True,negative,0.6004,True,neutral,0.7172,False,0.8882,0.1008,0.0111
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,neutral,neutral,0.9225,True,neutral,0.851,True,neutral,0.7307,True,0.0076,0.9225,0.0699
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,negative,0.8626,True,negative,0.7709,True,neutral,0.5068,False,0.8626,0.1277,0.0098
The Swedish player became majority owner of UCell in mid-2007 .,neutral,neutral,0.965,True,neutral,0.9592,True,neutral,0.7989,True,0.006,0.965,0.029
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative,neutral,0.5382,False,negative,0.7178,True,neutral,0.6538,False,0.2554,0.5382,0.2064
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,neutral,neutral,0.9761,True,neutral,0.966,True,neutral,0.747,True,0.0071,0.9761,0.0168
"Profit after taxes was EUR 0.1 mn , compared to EUR -0.4 mn the previous year .",positive,negative,0.8696,False,positive,0.6094,True,negative,0.4381,False,0.8696,0.0765,0.0539
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,positive,0.982,True,positive,0.9646,True,positive,0.517,True,0.0053,0.0127,0.982
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral,neutral,0.9721,True,neutral,0.9291,True,neutral,0.6774,True,0.0061,0.9721,0.0218
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive,positive,0.9751,True,positive,0.9338,True,positive,0.5498,True,0.0071,0.0178,0.9751
$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,negative,negative,0.8722,True,positive,0.9,False,negative,0.4964,True,0.8722,0.0718,0.0561
Shell share price: Standard Life announce position against BG acquisition,negative,negative,0.9401,True,negative,0.8245,True,negative,0.6154,True,0.9401,0.043,0.017
Johnson Matthey share price slumps as company posts full-year results,negative,negative,0.9125,True,negative,0.8826,True,negative,0.6015,True,0.9125,0.081,0.0065
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,neutral,0.9764,True,neutral,0.9699,True,neutral,0.8282,True,0.0066,0.9764,0.0169
"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",neutral,neutral,0.9723,True,neutral,0.9653,True,neutral,0.8004,True,0.0074,0.9723,0.0203
$GS sells flat..I am out..,negative,negative,0.949,True,negative,0.9082,True,negative,0.5968,True,0.949,0.0273,0.0237
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive,positive,0.852,True,neutral,0.5103,False,positive,0.4472,True,0.0355,0.1125,0.852
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative,negative,0.9468,True,negative,0.8937,True,negative,0.5959,True,0.9468,0.0425,0.0107
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,positive,positive,0.9831,True,positive,0.9741,True,positive,0.5313,True,0.0053,0.0116,0.9831
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,neutral,0.7224,True,neutral,0.8752,True,neutral,0.4688,True,0.2623,0.7224,0.0153
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,negative,0.8533,True,negative,0.5647,True,positive,0.3788,False,0.8533,0.1394,0.0073
"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",positive,positive,0.9537,True,positive,0.7615,True,positive,0.4887,True,0.0115,0.0347,0.9537
@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,negative,0.7797,False,negative,0.7915,False,negative,0.51,False,0.7797,0.1966,0.0237
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,neutral,0.9656,True,neutral,0.9365,True,neutral,0.7737,True,0.0072,0.9656,0.0272
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,negative,0.5127,False,neutral,0.5753,True,neutral,0.7264,True,0.5127,0.4812,0.0061
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative,negative,0.8208,True,negative,0.7264,True,negative,0.4547,True,0.8208,0.1725,0.0067
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",positive,positive,0.9255,True,positive,0.9602,True,positive,0.4362,True,0.0673,0.0072,0.9255
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,neutral,negative,0.8332,False,negative,0.7119,False,negative,0.4341,False,0.8332,0.1607,0.0061
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative,negative,0.911,True,negative,0.9119,True,negative,0.6142,True,0.911,0.0798,0.0093
"Finnish investment group Panostaja Oyj said its net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 , ended October 31 , 2006 , from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .",positive,positive,0.982,True,positive,0.9716,True,positive,0.5419,True,0.0062,0.0118,0.982
Asian traffic declined by 3.4 per cent .,neutral,negative,0.7986,False,negative,0.8091,False,negative,0.3922,False,0.7986,0.1942,0.0072
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative,negative,0.8521,True,negative,0.7072,True,negative,0.4771,True,0.8521,0.1394,0.0086
Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive,positive,0.8501,True,positive,0.9475,True,negative,0.48,False,0.1441,0.0059,0.8501
The electricity requirement of networks will grow with the new mobile generation .,neutral,positive,0.7946,False,positive,0.9178,False,neutral,0.6609,True,0.0065,0.1989,0.7946
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,negative,0.7976,True,negative,0.7752,True,negative,0.5447,True,0.7976,0.0977,0.1047
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,negative,0.841,True,negative,0.6646,True,neutral,0.7285,False,0.841,0.1451,0.0139
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative,negative,0.9038,True,negative,0.8322,True,negative,0.6349,True,0.9038,0.0889,0.0072
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative,negative,0.8471,True,negative,0.913,True,negative,0.5346,True,0.8471,0.0118,0.1411
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,neutral,0.9447,True,positive,0.6575,False,neutral,0.688,True,0.0096,0.9447,0.0457
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,positive,0.9841,True,positive,0.9569,True,positive,0.4833,True,0.0056,0.0103,0.9841
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive,positive,0.9709,True,positive,0.9365,True,neutral,0.601,False,0.0063,0.0228,0.9709
"The most important export markets are Norway , Germany , Russia and France .",neutral,neutral,0.9647,True,neutral,0.9615,True,neutral,0.759,True,0.0072,0.9647,0.0281
"Several large stocks tacked lower , however .",negative,negative,0.8768,True,negative,0.7374,True,negative,0.5146,True,0.8768,0.1112,0.012
The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral,0.9766,True,neutral,0.9719,True,neutral,0.8308,True,0.0072,0.9766,0.0162
"EPS for the quarter was EUR0 .00 , as compared with EUR0 .01 in the third quarter of 2008 , representing a Group net sales for the third quarter were EUR15 .3 m , up by 2.8 % as compared with EUR14 .9 m in the third quarter of 2008 .",positive,positive,0.9839,True,positive,0.9686,True,positive,0.5029,True,0.0086,0.0074,0.9839
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,negative,0.7964,True,negative,0.767,True,positive,0.3575,False,0.7964,0.1963,0.0073
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral,neutral,0.9724,True,neutral,0.9603,True,neutral,0.7947,True,0.0067,0.9724,0.0209
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,neutral,negative,0.8522,False,negative,0.7243,False,negative,0.4581,False,0.8522,0.1399,0.0079
"Sukhraj Dulai , of the 2900 block of Boni Sue Court , a cul-de-sac on the city 's north side , started the vehicle and went inside his house about 8 a.m. Tuesday , leaving the garage door open .",neutral,neutral,0.9658,True,neutral,0.9575,True,neutral,0.7427,True,0.0193,0.9658,0.0149
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,negative,negative,0.8376,True,negative,0.8101,True,negative,0.4821,True,0.8376,0.1562,0.0061
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,positive,0.957,True,positive,0.8597,True,neutral,0.6071,False,0.0059,0.0372,0.957
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral,neutral,0.9718,True,neutral,0.9665,True,neutral,0.8355,True,0.0076,0.9718,0.0206
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,negative,0.8799,True,negative,0.8123,True,negative,0.4934,True,0.8799,0.1083,0.0118
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive,positive,0.9615,True,positive,0.9589,True,positive,0.5051,True,0.0183,0.0202,0.9615
"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral,positive,0.7135,False,neutral,0.5315,True,neutral,0.644,True,0.0107,0.2758,0.7135
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,positive,0.9828,True,positive,0.9489,True,positive,0.5658,True,0.0063,0.0109,0.9828
"Both operating profit and net sales for the six-month period increased , respectively , from EUR13 .8 m and EUR143 .6 m , as compared to the corresponding period in 2007 .",positive,positive,0.9858,True,positive,0.9707,True,positive,0.5442,True,0.0068,0.0073,0.9858
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,neutral,negative,0.7948,False,neutral,0.5125,True,positive,0.3527,False,0.7948,0.1967,0.0085
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,negative,0.7081,True,negative,0.7688,True,neutral,0.5267,False,0.7081,0.2789,0.013
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,negative,negative,0.8661,True,negative,0.8183,True,negative,0.517,True,0.8661,0.1246,0.0093
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",neutral,negative,0.8348,False,negative,0.7602,False,negative,0.4683,False,0.8348,0.1572,0.008
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,negative,0.8276,True,negative,0.5583,True,neutral,0.7103,False,0.8276,0.1613,0.0111
"The order consists of capacity expansion , maintenance services and new charging functionality , the company said .",neutral,neutral,0.9313,True,neutral,0.7497,True,neutral,0.6931,True,0.0064,0.9313,0.0624
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral,neutral,0.9713,True,neutral,0.9673,True,neutral,0.7915,True,0.0063,0.9713,0.0224
"According to CEO Hannu Syrj+ñnen , a new common name and visual identity is required as the group has grown and internationalised .",neutral,neutral,0.9647,True,positive,0.5374,False,neutral,0.5638,True,0.0091,0.9647,0.0262
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,positive,0.8365,False,positive,0.7938,False,neutral,0.551,True,0.0072,0.1564,0.8365
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,negative,0.874,True,negative,0.6482,True,neutral,0.544,False,0.874,0.1171,0.0089
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",positive,positive,0.9098,True,positive,0.8216,True,neutral,0.5443,False,0.0061,0.0841,0.9098
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,neutral,0.9729,True,neutral,0.9435,True,neutral,0.7619,True,0.017,0.9729,0.0101
"Net cash from operating activities was a negative EUR 0.3 mn , compared to EUR 30.9 mn in 2009 .",neutral,negative,0.8359,False,negative,0.8061,False,negative,0.4785,False,0.8359,0.1561,0.008
Finnish Bank of +àland +àlandsbanken has issued a profit warning .,neutral,negative,0.7537,False,negative,0.7335,False,neutral,0.6713,True,0.7537,0.2351,0.0112
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,negative,0.8844,True,negative,0.7364,True,negative,0.3764,True,0.8844,0.0962,0.0194
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative,negative,0.8206,True,negative,0.753,True,neutral,0.5749,False,0.8206,0.1736,0.0058
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,positive,neutral,0.9498,False,neutral,0.838,False,neutral,0.7377,False,0.006,0.9498,0.0442
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative,negative,0.8105,True,negative,0.7667,True,negative,0.4282,True,0.8105,0.183,0.0066
"Kiosk and cinema operations have suffered , in particular .",negative,negative,0.849,True,negative,0.7296,True,neutral,0.6298,False,0.849,0.1452,0.0058
$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,positive,positive,0.9809,True,positive,0.9724,True,positive,0.5402,True,0.0122,0.0069,0.9809
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,negative,negative,0.8469,True,negative,0.7972,True,neutral,0.4504,False,0.8469,0.1445,0.0086
"The company had earlier said that it was considering different strategic options for the struggling low-cost mobile operator , including a divestment of its holding .",neutral,neutral,0.9586,True,neutral,0.9099,True,neutral,0.5504,True,0.0079,0.9586,0.0335
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,negative,0.8252,True,negative,0.7752,True,negative,0.4703,True,0.8252,0.1682,0.0066
Sainsbury sales slip again as price pressures take a toll,negative,negative,0.8892,True,negative,0.8575,True,negative,0.5758,True,0.8892,0.1015,0.0094
"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .",positive,positive,0.9574,True,positive,0.8322,True,neutral,0.6199,False,0.0286,0.014,0.9574
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,negative,negative,0.8339,True,negative,0.7943,True,negative,0.3889,True,0.8339,0.1584,0.0077
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,neutral,0.9782,True,neutral,0.9084,True,neutral,0.797,True,0.0101,0.9782,0.0118
$FB they are hitting  everything in sight.short it. but twtr,negative,negative,0.9595,True,negative,0.917,True,negative,0.595,True,0.9595,0.028,0.0126
HSBC Says Unit to Book $585 Million Charge on Settlement,negative,negative,0.8941,True,negative,0.8592,True,negative,0.606,True,0.8941,0.0912,0.0147
