hash,source,title,description,content,published_at,url,language,tickers,raw
1683dfac4a0e642991735c390420a8129825abf1dc00feb738ec36ca4bce6dc0,BleepingComputer,Trojan Virus from Emulator software,"Trojan Virus from Emulator software - posted in Virus, Trojan, Spyware, and Malware Removal Help: Hi guys
 
I recently downloaded emulator software and it seems to have infected my pc with a Trojan virus. I have done a scan and removal with the following in o…","Hi guys
I recently downloaded emulator software and it seems to have infected my pc with a Trojan virus. I have done a scan and removal with the following in order:
Malwarebytes anti-malware
Windo… [+173984 chars]",2026-04-22 11:22:20+00:00,https://www.bleepingcomputer.com/forums/t/815614/trojan-virus-from-emulator-software/,en,[],"{'source': {'id': None, 'name': 'BleepingComputer'}, 'author': 'SpiTaFeX', 'title': 'Trojan Virus from Emulator software', 'description': 'Trojan Virus from Emulator software - posted in Virus, Trojan, Spyware, and Malware Removal Help: Hi guys\n\xa0\nI recently downloaded emulator software and it seems to have infected my pc with a Trojan virus. I have done a scan and removal with the following in o…', 'url': 'https://www.bleepingcomputer.com/forums/t/815614/trojan-virus-from-emulator-software/', 'urlToImage': 'https://www.bleepingcomputer.com/forums/public/style_images/master/meta_image.png', 'publishedAt': '2026-04-22T11:22:20Z', 'content': 'Hi guys\r\nI recently downloaded emulator software and it seems to have infected my pc with a Trojan virus. I have done a scan and removal with the following in order:\r\nMalwarebytes anti-malware\r\nWindo… [+173984 chars]'}"
7bb93413d51cfce6b8784791c26b3d07d40782cf0980157258832fd970a8e0f8,Www.gov.uk,"Accredited official statistics: Exposure to lead in Great Britain, 2025",Annual summary of medical surveillance of blood-lead levels in British workers up to March 2025.,"We use some essential cookies to make this website work.
Wed like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.
We also use coo… [+70 chars]",2026-04-22 11:22:05+00:00,https://www.gov.uk/government/statistics/announcements/exposure-to-lead-in-great-britain-2025,en,[],"{'source': {'id': None, 'name': 'Www.gov.uk'}, 'author': None, 'title': 'Accredited official statistics: Exposure to lead in Great Britain, 2025', 'description': 'Annual summary of medical surveillance of blood-lead levels in British workers up to March 2025.', 'url': 'https://www.gov.uk/government/statistics/announcements/exposure-to-lead-in-great-britain-2025', 'urlToImage': 'https://www.gov.uk/assets/frontend/govuk-opengraph-image-4196a4d6333cf92aaf720047f56cfd91b3532d7635fc21ebcf0d5897df6b5f77.png', 'publishedAt': '2026-04-22T11:22:05Z', 'content': 'We use some essential cookies to make this website work.\r\nWed like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.\r\nWe also use coo… [+70 chars]'}"
48858d4836be3302e2ea745fc72cb44f980bf20e26e8ce5102a665391a848937,Yahoo Entertainment,England's adaptive cheerleading champions chasing gold in Florida,England's Adaptive Abilities Advanced cheerleading team on growing participation and medal hopes,"If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",2026-04-22 11:21:41+00:00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9c70ecf6-363f-44d6-ad6c-f280d03070b7,en,[],"{'source': {'id': None, 'name': 'Yahoo Entertainment'}, 'author': None, 'title': ""England's adaptive cheerleading champions chasing gold in Florida"", 'description': ""England's Adaptive Abilities Advanced cheerleading team on growing participation and medal hopes"", 'url': 'https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_9c70ecf6-363f-44d6-ad6c-f280d03070b7', 'urlToImage': None, 'publishedAt': '2026-04-22T11:21:41Z', 'content': ""If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]""}"
c1c29257e72d71971fc1f1501ca2f0d9e75fce97a035382f4417915381591da4,iPhone in Canada,Apple Launches Tap to Pay on iPhone in Malaysia,"Apple's Tap to Pay on iPhone is now rolling out to users in Malaysia, allowing buisnesses to set up the contactless payment system.
The post Apple Launches Tap to Pay on iPhone in Malaysia first appeared on iPhone in Canada.","Apple’s Tap to Pay on iPhone is now rolling out to users in Malaysia. Starting today, independent store owners and sellers, as well as larger retailers in the region, can securely accept in-person co… [+1497 chars]",2026-04-22 11:21:34+00:00,https://www.iphoneincanada.ca/2026/04/22/apple-tap-to-pay-on-iphone-malaysia/,en,[],"{'source': {'id': None, 'name': 'iPhone in Canada'}, 'author': 'Steve Vegvari', 'title': 'Apple Launches Tap to Pay on iPhone in Malaysia', 'description': ""Apple's Tap to Pay on iPhone is now rolling out to users in Malaysia, allowing buisnesses to set up the contactless payment system.\nThe post Apple Launches Tap to Pay on iPhone in Malaysia first appeared on iPhone in Canada."", 'url': 'https://www.iphoneincanada.ca/2026/04/22/apple-tap-to-pay-on-iphone-malaysia/', 'urlToImage': 'https://cdn.iphoneincanada.ca/wp-content/uploads/2023/07/Apple-Tap-to-Pay.jpg', 'publishedAt': '2026-04-22T11:21:34Z', 'content': 'Apple’s Tap to Pay on iPhone is now rolling out to users in Malaysia. Starting today, independent store owners and sellers, as well as larger retailers in the region, can securely accept in-person co… [+1497 chars]'}"
ce35eed15a1f3cca78c53d650a9855dce686a5681308fdf635351a8627dc6a2a,Seroundtable.com,Google Ads AI-Qualified Call Conversions,Google Ads has a new help document on AI-Qualified Call Conversions.  Google says AI-qualified call leads use Google AI to evaluate call recordings to determine the actual quality of the conversation.,Google Ads has a new help document on AI-Qualified Call Conversions. Google says AI-qualified call leads use Google AI to evaluate call recordings to determine the actual quality of the conversation.… [+1236 chars],2026-04-22 11:21:23+00:00,https://www.seroundtable.com/google-ads-ai-qualified-call-conversions-41193.html,en,[],"{'source': {'id': None, 'name': 'Seroundtable.com'}, 'author': 'Barry Schwartz', 'title': 'Google Ads AI-Qualified Call Conversions', 'description': 'Google Ads has a new help document on AI-Qualified Call Conversions.  Google says AI-qualified call leads use Google AI to evaluate call recordings to determine the actual quality of the conversation.', 'url': 'https://www.seroundtable.com/google-ads-ai-qualified-call-conversions-41193.html', 'urlToImage': 'https://images.seroundtable.com/broken-google-phone-1759508384.jpg', 'publishedAt': '2026-04-22T11:21:23Z', 'content': 'Google Ads has a new help document on AI-Qualified Call Conversions. Google says AI-qualified call leads use Google AI to evaluate call recordings to determine the actual quality of the conversation.… [+1236 chars]'}"
07b9637af713f11cb561ee069114f21cf3062e5d2f9b8d46b5086a39a62a9b9f,Yahoo Entertainment,"Best Buy names Jason Bonfig as next CEO, replacing Corie Barry",,"If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",2026-04-22 11:21:21+00:00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7efe5a2d-733d-4e2a-af90-327f9273c209,en,[],"{'source': {'id': None, 'name': 'Yahoo Entertainment'}, 'author': None, 'title': 'Best Buy names Jason Bonfig as next CEO, replacing Corie Barry', 'description': None, 'url': 'https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7efe5a2d-733d-4e2a-af90-327f9273c209', 'urlToImage': None, 'publishedAt': '2026-04-22T11:21:21Z', 'content': ""If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]""}"
2b5019a2d1c2ce643292fba21cd50cb49e7482f3ba58df310165ccad2d4513b0,CNA,"Singapore, Malaysia and Indonesia 'strategically aligned' in keeping Strait of Malacca open: Vivian Balakrishnan","""We do not have tolls. All of us are trade-dependent economies. All of us know it is in our interest to keep it open,"" Dr Balakrishnan said in an interview with CNBC.","On whether there may be a time when the US or China would exert more pressure on nations like Singapore, the minister replied: ""Not yet, for us.""
He added that when Singapore engages with the US, he… [+1128 chars]",2026-04-22 11:21:00+00:00,https://www.channelnewsasia.com/singapore/strait-malacca-open-indonesia-malaysia-vivian-balakrishnan-6073151,en,[],"{'source': {'id': None, 'name': 'CNA'}, 'author': None, 'title': ""Singapore, Malaysia and Indonesia 'strategically aligned' in keeping Strait of Malacca open: Vivian Balakrishnan"", 'description': '""We do not have tolls. All of us are trade-dependent economies. All of us know it is in our interest to keep it open,"" Dr Balakrishnan said in an interview with CNBC.', 'url': 'https://www.channelnewsasia.com/singapore/strait-malacca-open-indonesia-malaysia-vivian-balakrishnan-6073151', 'urlToImage': 'https://dam.mediacorp.sg/image/upload/s--i_V-xbaV--/c_crop,h_270,w_480,x_0,y_0/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/04/22/image_480.png?itok=EB_EO47S', 'publishedAt': '2026-04-22T11:21:00Z', 'content': 'On whether there may be a time when the US or China would exert more pressure on nations like Singapore, the minister replied: ""Not yet, for us.""\r\nHe added that when Singapore engages with the US, he… [+1128 chars]'}"
151b68ec7d3c822a4814158e9fb5655cfeb0f901996f5f24a3b528b3f48eec15,CNA,"Singapore, Malaysia and Indonesia 'strategically aligned' in keeping Straits of Malacca open: Vivian Balakrishnan","<![CDATA[ ""We do not have tolls. All of us are trade-dependent economies. All of us know it is in our interest to keep it open,"" Dr Balakrishnan said in an interview with CNBC. ]]>","On whether there may be a time when the US or China would exert more pressure on nations like Singapore, the minister replied: ""Not yet, for us.""
He added that when Singapore engages with the US, he… [+1128 chars]",2026-04-22 11:21:00+00:00,https://www.channelnewsasia.com/singapore/straits-malacca-open-indonesia-malaysia-vivian-balakrishnan-6073151,en,[],"{'source': {'id': None, 'name': 'CNA'}, 'author': None, 'title': ""Singapore, Malaysia and Indonesia 'strategically aligned' in keeping Straits of Malacca open: Vivian Balakrishnan"", 'description': '<![CDATA[ ""We do not have tolls. All of us are trade-dependent economies. All of us know it is in our interest to keep it open,"" Dr Balakrishnan said in an interview with CNBC. ]]>', 'url': 'https://www.channelnewsasia.com/singapore/straits-malacca-open-indonesia-malaysia-vivian-balakrishnan-6073151', 'urlToImage': 'https://dam.mediacorp.sg/image/upload/s--i_V-xbaV--/c_crop,h_270,w_480,x_0,y_0/c_fill,g_auto,h_676,w_1200/f_auto,q_auto/v1/mediacorp/cna/image/2026/04/22/image_480.png?itok=EB_EO47S', 'publishedAt': '2026-04-22T11:21:00Z', 'content': 'On whether there may be a time when the US or China would exert more pressure on nations like Singapore, the minister replied: ""Not yet, for us.""\r\nHe added that when Singapore engages with the US, he… [+1128 chars]'}"
9aec9116911f8b5989d81120495662fe198f91e35512f1ed6cc76e829b2093c9,Yahoo Entertainment,ADNIC secures India approval for GIFT City reinsurance branch,,"If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",2026-04-22 11:20:57+00:00,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_72fe1093-c309-464b-a3e9-3a31589579f4,en,[],"{'source': {'id': None, 'name': 'Yahoo Entertainment'}, 'author': None, 'title': 'ADNIC secures India approval for GIFT City reinsurance branch', 'description': None, 'url': 'https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_72fe1093-c309-464b-a3e9-3a31589579f4', 'urlToImage': None, 'publishedAt': '2026-04-22T11:20:57Z', 'content': ""If you click 'Accept all', we and our partners, including 250 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]""}"
578200611b1194f0fb4fef8d5dc0ae1713569a28ab2022d8298f894a87196237,Packaging-gateway.com,Sonoco Q1 2026 profit rises despite dip in sales,"Net sales for the quarter came in at $1.7bn, marking a year-on-year decrease of 1.9%.","Sonoco has posted first-quarter attributable net income of $67.6m, compared with $54.4m in the same quarter of 2025.
Diluted earnings per share attributable to Sonoco increased to $0.68 from $0.55 a… [+3140 chars]",2026-04-22 11:19:31+00:00,https://www.packaging-gateway.com/news/sonoco-q1-2026-profit-rises/,en,[],"{'source': {'id': None, 'name': 'Packaging-gateway.com'}, 'author': 'Vidhya Edwards Munnangi', 'title': 'Sonoco Q1 2026 profit rises despite dip in sales', 'description': 'Net sales for the quarter came in at $1.7bn, marking a year-on-year decrease of 1.9%.', 'url': 'https://www.packaging-gateway.com/news/sonoco-q1-2026-profit-rises/', 'urlToImage': 'https://s.yimg.com/ny/api/res/1.2/lMeN98A7BQ7OTHGY5Z218A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/packaging_gateway_559/57de6ef06b17c8352a4089b0f14b8902', 'publishedAt': '2026-04-22T11:19:31Z', 'content': 'Sonoco has posted first-quarter attributable net income of $67.6m, compared with $54.4m in the same quarter of 2025.\r\nDiluted earnings per share attributable to Sonoco increased to $0.68 from $0.55 a… [+3140 chars]'}"
